ID,firstname,lastname,leag,gp,minutes,pts,oreb,dreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
ABDELAL01 ,Alaa,Abdelnaby,N,256,3200,1465,283,563,846,85,71,69,247,484,1236,620,321,225,3,0
ABDULKA01 ,Kareem,Abdul-jabbar,N,1560,57446,38387,2975,9394,17440,5660,1160,3189,2527,4657,28307,15837,9304,6712,18,1
ABDULMA01 ,Mahmo,Abdul-rauf,N,586,15633,8553,219,868,1087,2079,487,46,963,1107,7943,3514,1161,1051,1339,474
ABDULTA01 ,Tariq,Abdul-wahad,N,236,4808,1830,286,490,776,266,184,82,309,485,1726,720,529,372,76,18
ABDURSH01 ,Shareef,Abdur-rahim,N,830,28883,15028,1869,4370,6239,2109,820,638,2136,2324,11515,5434,4943,4006,519,154
ABERNTO01 ,Tom,Abernethy,N,319,5434,1779,374,637,1011,384,185,60,129,525,1472,724,443,331,2,0
ABLEFO01  ,Forest,Able,N,1,1,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0
ABRAMJO01 ,John,Abramovic,N,56,0,533,0,0,0,37,0,0,0,171,855,203,185,127,0,0
ACKERAL01 ,Alex,Acker,N,30,234,81,9,20,29,16,6,4,11,13,92,34,10,5,25,8
ACKERDO01 ,Donald,Ackerman,N,28,220,43,0,0,15,23,0,0,0,43,63,14,28,15,0,0
ACRESMA01 ,Mark,Acres,N,375,5982,1343,581,944,1525,180,137,104,235,932,1016,514,463,308,13,7
ACTONCH01 ,Charles,Acton,N,23,195,77,0,0,47,11,0,0,0,35,74,29,29,19,0,0
ADAMSAL01 ,Alvan,Adams,N,988,27203,13910,2015,4922,6937,4012,1289,808,2194,3214,11464,5709,3160,2490,15,2
ADAMSDO01 ,Don,Adams,N,507,13132,4497,364,960,2848,957,321,62,52,1671,4437,1781,1263,935,2,0
ADAMSDO01 ,Don,Adams,A,16,342,101,21,47,68,54,13,2,27,38,98,42,22,17,1,0
ADAMSGE01 ,George,Adams,A,215,3903,1652,0,668,873,317,88,59,292,372,1440,716,272,216,17,4
AdamsHa01 ,Hassan,Adams,N,72,549,185,36,48,84,14,18,5,26,51,148,79,42,27,1,0
ADAMSMI01 ,Michael,Adams,N,653,20446,9621,416,1484,1900,4209,1081,67,1402,1193,7849,3257,2543,2158,2857,949
ADDISRA01 ,Rafael,Addison,N,379,5697,2186,262,515,777,339,148,83,284,671,2047,920,359,277,245,69
ADELMRI01 ,Rick,Adelman,N,462,10427,3579,41,123,1129,1606,106,9,0,990,3330,1381,1146,817,0,0
AfflaAr01 ,Arron,Afflalo,N,149,2211,639,66,205,271,96,59,21,77,227,541,230,158,126,155,53
AgerMa01  ,Maurice,Ager,N,77,469,154,8,36,44,18,5,6,25,60,177,58,53,30,40,8
AGUIRMA01 ,Mark,Aguirre,N,923,27730,18458,1704,2874,4578,2871,687,296,2306,2599,14865,7201,4944,3664,1258,392
AhearBl01 ,Blake,Ahearn,N,13,177,73,0,16,16,17,7,0,18,19,56,16,31,30,32,11
AINGEDA01 ,Danny,Ainge,N,1042,27755,11964,695,2073,2768,4199,1133,132,1566,2549,9905,4643,1980,1676,2651,1002
AITCHMA01 ,Matt,Aitch,A,45,637,252,0,0,160,18,0,0,37,69,247,100,77,52,2,0
AjincAl01 ,Alexis,Ajinca,N,31,181,70,9,21,30,3,7,6,12,34,69,25,28,20,2,0
AKINHE01  ,Henry,Akin,A,2,25,4,0,0,4,1,0,0,4,0,4,1,3,2,2,0
AKINHE01  ,Henry,Akin,N,86,712,304,0,0,177,39,0,0,0,130,367,129,68,46,0,0
ALARIMA01 ,Mark,Alarie,N,325,5500,2432,438,682,1120,363,132,109,309,712,2184,1037,418,324,135,34
ALCORGA01 ,Gary,Alcorn,N,78,844,261,0,0,329,24,0,0,0,170,352,103,92,55,0,0
AldriLa01 ,LaMarcus,Aldridge,N,220,7048,3385,596,894,1490,303,154,244,290,633,2883,1403,747,571,37,8
ALEKSCH01 ,Chuck,Aleksinas,N,74,1114,377,87,183,270,36,15,15,72,171,337,161,75,55,1,0
ALEXACO01 ,Cory,Alexander,N,305,4842,1677,78,403,481,834,263,37,467,514,1508,587,352,266,669,237
ALEXACO02 ,Courtney,Alexander,N,187,4069,1690,124,285,409,227,111,18,203,377,1552,655,417,339,121,41
ALEXAGA01 ,Gary,Alexander,N,11,55,19,7,8,15,2,3,0,8,10,14,8,9,3,0,0
AlexaJo01 ,Joe,Alexander,N,59,717,278,44,71,115,42,15,29,52,107,245,102,83,58,46,16
ALEXAVI01 ,Victor,Alexander,N,286,5756,2542,446,938,1384,257,135,177,378,713,2126,1101,509,322,63,18
ALFORST01 ,Steve,Alford,N,169,1641,744,25,119,144,176,85,10,89,113,634,291,146,127,108,35
ALLENBI01 ,Bill,Allen,A,38,857,300,0,0,269,23,0,0,38,121,280,120,99,58,2,2
ALLENBO01 ,Bob,Allen,N,27,232,48,0,0,56,10,0,0,0,27,43,14,36,20,0,0
ALLENJE01 ,Jerome,Allen,N,41,362,108,5,20,25,49,21,5,34,42,105,36,36,26,33,10
ALLENLU01 ,Lucius,Allen,N,702,20159,9407,381,928,2205,3174,604,124,247,1799,8385,3884,2157,1639,0,0
ALLENMA01 ,Malik,Allen,N,408,6627,2206,418,821,1239,208,118,211,295,799,2217,982,310,240,11,2
ALLENRA01 ,Randy,Allen,N,70,789,252,52,93,145,23,17,20,30,109,258,114,45,24,8,0
ALLENRA02 ,Ray,Allen,N,942,35095,19661,1057,3123,4180,3544,1139,172,2207,2202,15319,6865,4068,3632,5776,2299
ALLENTO01 ,Tony,Allen,N,282,5311,2093,208,520,728,367,292,98,405,634,1592,752,710,534,182,55
ALLENWI01 ,Willie,Allen,A,7,30,13,0,0,14,4,0,0,6,11,13,4,6,5,0,0
ALLISOD01 ,Odis,Allison,N,36,166,67,0,0,45,10,0,0,0,34,78,17,61,33,0,0
AllreLa01 ,Lance,Allred,N,3,10,3,0,1,1,0,0,0,0,1,4,1,2,1,0,0
ALLUMDA01 ,Darrell,Allums,N,22,276,59,19,46,65,25,5,8,23,51,67,23,22,13,1,0
AlmonMo01 ,Morris,Almond,N,34,297,105,9,29,38,10,5,4,18,36,96,37,32,25,21,6
ALSTODE01 ,Derrick,Alston,N,139,2658,751,228,297,525,94,95,87,112,298,650,318,234,114,7,1
ALSTORA01 ,Rafer,Alston,N,619,17968,6369,234,1528,1762,3026,763,95,1100,1305,5944,2294,1157,844,2646,937
ALUMAPE01 ,Peter,Aluma,N,2,5,2,1,1,2,0,1,1,2,4,2,1,0,0,0,0
AMAECJO01 ,John,Amaechi,N,294,4814,1837,230,542,772,228,90,94,386,499,1646,663,760,510,13,1
AMAYAAS01 ,Ashraf,Amaya,N,85,1248,379,131,224,355,36,29,13,67,180,292,133,177,112,2,1
AmundLo01 ,Louis,Amundson,N,103,1194,355,148,162,310,29,34,74,63,182,281,148,137,59,1,0
ANDERAL01 ,Alan,Anderson,N,53,819,305,34,68,102,53,18,4,54,81,262,112,64,52,78,29
ANDERAN01 ,Andy,Anderson,A,194,4786,2081,0,0,527,327,0,0,173,462,1958,803,616,465,63,10
ANDERBO01 ,Bob,Anderegg,N,33,373,133,0,0,69,29,0,0,0,32,143,55,42,23,0,0
ANDERCA01 ,Cadillac,Anderson,N,680,14040,4953,1432,2814,4246,385,480,590,926,1741,4090,2011,1668,929,23,2
ANDERCH01 ,Chris,Andersen,N,329,5693,1752,599,1065,1664,182,134,522,281,652,1317,638,753,474,19,2
ANDERCL01 ,Cliff,Anderson,A,3,22,6,0,0,4,4,0,0,0,3,4,2,6,2,0,0
ANDERCL01 ,Cliff,Anderson,N,81,581,247,0,0,103,68,0,0,0,105,202,71,177,105,0,0
ANDERDA01 ,Danw,Anderson,A,140,4025,1707,0,0,1316,158,0,0,212,503,1421,683,469,341,0,0
ANDERDA02 ,Daniel,Anderson,N,95,1067,347,23,68,91,166,36,3,0,102,286,135,91,77,0,0
ANDERDE01 ,Derek,Anderson,N,615,17975,7357,440,1548,1988,2083,691,87,1052,1230,5922,2419,2198,1874,1891,645
ANDERDW01 ,Dwight,Anderson,N,5,33,21,0,2,2,3,1,0,5,7,14,7,10,7,0,0
ANDERER01 ,Eric,Anderson,N,27,83,42,12,19,31,5,3,2,7,23,35,12,27,16,2,2
ANDERJE01 ,Jerome,Anderson,N,49,290,127,13,12,25,16,9,5,0,51,104,51,36,25,0,0
ANDERKE01 ,Kim,Anderson,N,21,224,63,17,28,45,15,4,5,22,42,77,24,28,15,0,0
ANDERKE02 ,Kenny,Anderson,N,858,25870,10789,670,1971,2641,5196,1259,112,1768,1974,9512,4002,2833,2238,1580,547
ANDERMI01 ,Mitchell,Anderson,N,157,1970,751,186,253,439,110,107,39,131,251,658,306,249,139,9,0
ANDERMI02 ,Michael,Anderson,N,36,730,204,44,45,89,153,44,3,84,64,175,73,82,57,7,1
ANDERNI01 ,Nick,Anderson,N,800,24922,11529,1011,3052,4063,2087,1114,364,1358,1502,9891,4416,2461,1642,2964,1055
ANDERRI01 ,Richard,Anderson,N,407,6002,2260,457,961,1418,611,225,94,362,691,2206,909,386,294,445,148
ANDERRO01 ,Ron,Anderson,N,664,15112,7056,856,1456,2312,952,470,90,730,1019,6239,2936,1325,1079,366,105
AnderRy01 ,Ryan,Anderson,N,66,1312,487,104,207,311,52,44,20,63,157,407,160,116,98,189,69
ANDERSH01 ,Shandon,Anderson,N,719,15951,5327,583,1669,2252,1007,556,180,959,1437,4366,1996,1392,1028,972,307
ANDERWA01 ,Wally,Anderzunas,N,44,370,159,0,0,82,9,0,0,0,47,166,65,46,29,0,0
ANDERWI01 ,Willie,Anderson,N,555,15974,6771,550,1532,2082,2105,594,342,1163,1500,5952,2804,1353,1064,372,99
ANDRIMA01 ,Martynas,Andriuskevicius,N,6,10,0,1,3,4,0,2,0,0,1,1,0,0,0,0,0
ANIELDO01 ,Don,Anielak,N,1,10,3,0,0,2,0,0,0,0,0,4,0,4,3,0,0
ANSLEMI01 ,Michael,Ansley,N,149,2143,1026,311,310,621,67,51,24,85,284,746,383,360,260,0,0
ANSTECH01 ,Chris,Anstey,N,155,2157,813,178,356,534,127,78,65,147,373,734,303,269,203,29,4
ANTHOCA01 ,Carmelo,Anthony,N,445,16106,10768,873,1858,2731,1367,503,198,1374,1335,8408,3864,3433,2731,1007,309
ANTHOGR01 ,Greg,Anthony,N,757,15848,5497,271,1146,1417,2997,887,79,1043,1324,4749,1914,1445,1059,1748,610
AnthoJo01 ,Joel,Anthony,N,89,1550,229,127,163,290,30,29,124,58,194,178,85,95,59,0,0
ARAUJRA01 ,Rafael,Araujo,N,140,1604,393,125,271,396,47,52,16,111,300,392,158,112,76,5,1
ARCENST01 ,Stacey,Arceneaux,N,7,110,50,0,0,32,4,0,0,0,10,56,22,13,6,0,0
ARCHINA01 ,Nate,Archibald,N,876,31159,16481,344,1015,2046,6476,719,81,1123,2002,12628,5899,5760,4664,85,19
ARCHIRO01 ,Robert,Archibald,N,44,328,51,27,42,69,16,14,6,17,59,53,15,49,21,0,0
ARDJI01   ,Jim,Ard,A,213,3100,1138,0,159,1012,129,16,25,169,363,1039,452,360,230,17,4
ARDJI01   ,Jim,Ard,N,218,2666,771,241,579,820,149,43,96,14,384,831,300,246,171,0,0
ARENAGI01 ,Gilbert,Arenas,N,433,16172,9853,403,1425,1828,2387,758,103,1438,1365,7436,3174,3214,2599,2529,906
ARIZATR01 ,Trevor,Ariza,N,311,6212,2159,406,763,1169,400,354,83,329,595,1718,808,716,473,234,70
ARIZIPA01 ,Paul,Arizin,N,713,24897,16266,0,0,6129,1665,0,0,0,2764,13354,5628,6189,5010,0,0
ARLAUJO01 ,Joe,Arlauckas,N,9,85,34,6,7,13,8,3,4,4,16,43,14,8,6,0,0
ARMSTBJ01 ,B.j.,Armstrong,N,747,17790,7320,192,1129,1321,2479,533,47,889,1128,5981,2850,1383,1184,1025,436
ARMSTBO01 ,Bob,Armstrong,N,19,110,28,0,0,39,3,0,0,0,13,37,11,12,6,0,0
ARMSTBR01 ,Brandon,Armstrong,N,108,699,239,22,41,63,24,22,4,37,83,287,101,20,12,75,25